ano_mes,segmento,modalidade_credito,saldo,taxa_juros_aa,spread_pp
2011-03,Total,Total,1759678.0,27.35,17.65
2011-03,PF,Total,800794.0,36.42,26.06
2011-03,PF,Cheque especial,21204.0,145.33,
2011-03,PF,Crédito pessoal não consignado,67845.0,73.87,
2011-03,PF,Crédito pessoal consignado,142448.0,29.21,
2011-03,PF,Aquisição de veículos,149594.0,27.95,
2011-03,PF,Cartão de crédito rotativo,24356.0,267.99,
2011-03,PF,Cartão de crédito parcelado,7537.0,123.32,
2011-03,PF,Desconto de cheques,1396.0,54.08,
2011-03,PF,Crédito rural,66705.0,5.95,
2011-03,PF,Financiamento imobiliário,142455.0,10.68,
2011-03,PF,Microcrédito,2414.0,27.49,
2011-03,PJ,Total,958884.0,19.33,10.22
2011-03,PJ,Desconto de duplicatas e recebíveis,21891.0,35.76,
2011-03,PJ,Capital de giro,250962.0,23.39,
2011-03,PJ,Conta garantida,42855.0,38.81,
2011-03,PJ,Cheque especial,14542.0,167.39,
2011-03,PJ,Aquisição de veículos,14379.0,21.13,
2011-03,PJ,Vendor,5884.0,18.21,
2011-03,PJ,Compror,11254.0,17.21,
2011-03,PJ,Cartão de crédito rotativo,947.0,233.26,
2011-03,PJ,Cartão de crédito parcelado,73.0,94.66,
2011-03,PJ,Adiantamento sobre contratos de câmbio (ACC),32008.0,3.09,
2011-03,PJ,Financiamento a importações,4328.0,13.07,
2011-03,PJ,Financiamento a exportações,38323.0,13.51,
2011-03,PJ,Repasse externo,8253.0,17.69,
2011-03,PJ,Crédito rural,38654.0,8.61,
2011-03,PJ,Financiamento imobiliário,24861.0,11.94,
2011-03,PJ,Financiamento com recursos do BNDES,338959.0,9.51,
2011-04,Total,Total,1783487.0,27.94,18.22
2011-04,PF,Total,811662.0,37.03,26.66
2011-04,PF,Cheque especial,21579.0,148.21,
2011-04,PF,Crédito pessoal não consignado,69215.0,76.72,
2011-04,PF,Crédito pessoal consignado,144234.0,29.72,
2011-04,PF,Aquisição de veículos,152917.0,28.44,
2011-04,PF,Cartão de crédito rotativo,25202.0,277.13,
2011-04,PF,Cartão de crédito parcelado,7404.0,124.27,
2011-04,PF,Desconto de cheques,1419.0,54.89,
2011-04,PF,Crédito rural,67492.0,6.18,
